31
Î	Å	À	È	Í	Ò	Ñ	Â	Ð	Ë	Ê	Ä	Ì	Ï	Ó	Û	Ç	ß	Ã	Á	É	Ü	Õ	×	Ø	Æ	Þ	Ö	Ù	Ý	Ô
9	15	1	12	30	39	50	84	43	41	19	47	38	18	3	0	18	2	32	28	29	0	5	12	4	7	3	2	3	2	2
7	7	2	6	63	33	37	18	39	35	13	27	24	16	3	0	10	2	11	9	15	0	8	7	3	5	1	3	3	1	1
3	7	2	7	45	27	31	35	26	27	19	14	19	11	3	0	15	9	8	12	7	0	10	7	10	6	6	6	1	2	1
8	21	4	19	32	29	29	22	11	21	19	10	20	13	3	0	23	17	5	6	11	0	17	11	1	2	3	3	1	1	1
67	34	54	58	24	9	9	2	1	0	3	3	1	2	7	36	0	5	3	1	0	3	0	2	0	0	0	5	0	0	1
56	31	35	28	11	2	18	27	26	1	5	3	1	4	10	11	1	4	1	1	0	21	0	1	0	0	0	0	0	0	0
27	25	8	6	9	82	11	7	4	13	40	2	3	11	6	1	0	17	1	1	0	8	1	2	2	0	0	1	0	0	0
58	32	35	17	9	6	19	5	6	10	7	3	3	6	7	18	2	3	3	1	0	1	1	2	4	0	0	1	1	2	0
56	37	55	24	7	9	5	4	1	1	3	3	3	2	16	8	1	5	4	1	0	3	1	1	2	3	0	1	0	0	0
30	33	25	36	8	1	3	1	0	2	1	1	1	2	6	2	1	9	1	1	0	30	4	1	0	2	4	0	0	0	0
66	4	24	26	2	7	3	4	10	4	1	0	1	2	10	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0
22	29	25	13	13	1	8	3	6	5	1	1	1	3	10	5	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0
19	21	18	23	7	3	5	4	2	1	3	1	3	5	9	5	2	3	1	2	0	1	0	2	0	1	0	0	0	1	1
46	15	7	4	1	0	1	0	41	9	0	0	0	0	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	1	2	5	7	14	4	7	5	8	11	5	5	0	0	3	1	4	4	0	0	1	8	3	6	9	0	2	0	0
2	12	0	4	3	4	9	9	3	6	3	3	6	10	1	0	2	0	1	1	7	0	16	1	2	0	0	0	0	0	0
9	3	35	4	9	0	1	7	3	1	2	5	2	1	2	4	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0
3	3	1	3	6	10	6	9	3	3	3	3	4	6	0	0	5	1	1	3	2	0	2	4	1	1	1	1	1	1	0
50	3	7	5	1	0	0	0	7	5	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	9	5	6	2	0	1	0	8	6	0	0	0	0	6	11	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
9	0	1	4	7	2	10	4	3	1	5	3	2	7	0	0	2	0	1	1	0	0	0	3	2	1	0	1	0	0	0
2	2	0	2	13	3	11	4	1	0	6	1	3	4	0	0	2	1	1	2	0	0	0	1	4	0	3	0	0	1	0
18	1	4	3	4	2	4	4	3	3	4	3	3	5	2	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1
0	23	12	12	6	7	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2	11	5	14	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	12	5	5	6	0	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	1	1	7	1	1	1	0	1	1	1	3	0	0	3	0	2	2	0	0	0	1	0	0	0	1	4	0	0
1	7	3	10	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	8	3	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
