655
_1_
31	0	 
Î	È	Å	Í	À	Ò	Ñ	Ð	Â	Ì	Ó	Ê	Ë	Ï	Ä	Û	ß	Ü	Á	Ç	×	Þ	Ã	Æ	Õ	É	Ø	Ö	Ù	Ý	Ô	
2	6	7	15	1	13	33	21	16	14	2	5	11	11	13	0	1	0	8	9	3	1	7	4	0	7	1	0	3	1	0	
5	3	9	19	2	18	10	15	8	8	0	21	3	8	3	0	14	0	2	5	7	3	3	0	4	1	1	2	0	0	0	
1	3	3	26	4	13	12	19	9	10	0	1	5	8	10	0	2	0	2	2	2	0	5	3	0	4	2	0	1	2	0	
22	20	14	12	29	2	8	1	0	0	9	2	0	2	1	16	1	0	0	0	1	2	0	0	0	0	0	3	0	0	0	
3	3	7	18	0	7	14	4	9	16	1	10	13	3	6	0	5	0	4	3	3	2	4	0	1	0	3	5	0	0	1	
35	18	4	6	12	2	6	9	13	0	3	2	0	1	2	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	3	8	4	2	33	2	0	6	5	3	10	9	2	1	0	4	2	2	0	1	0	0	0	4	0	3	1	0	1	0	
22	29	25	2	14	0	2	1	1	0	8	0	0	1	5	2	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	
24	16	10	5	8	5	4	4	2	3	0	0	3	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
5	12	18	2	4	1	3	1	0	1	3	1	0	4	2	6	1	0	1	0	3	0	0	0	2	0	0	0	0	0	0	
2	3	4	2	2	3	4	0	3	1	1	2	2	3	4	0	1	0	5	4	2	12	3	1	0	0	4	0	1	0	0	
17	2	0	1	19	3	2	1	4	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	
8	17	5	1	8	0	0	0	0	0	2	0	0	0	0	0	3	14	0	0	0	1	0	1	0	0	0	0	0	0	0	
14	2	5	0	7	0	0	26	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
6	8	3	1	7	0	6	0	2	1	8	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	
0	0	2	2	1	3	3	5	4	2	0	0	5	1	0	0	0	0	0	1	0	0	0	0	5	5	0	0	0	0	0	
2	2	1	3	1	3	3	1	5	2	0	1	1	4	0	0	0	0	3	1	0	2	0	0	3	0	0	0	0	0	0	
1	0	0	13	7	0	2	0	1	1	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
4	1	3	2	1	0	1	2	0	1	6	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
3	1	0	4	2	0	0	2	3	0	3	0	1	0	0	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
0	4	3	2	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	0	0	0	0	0	2	2	4	1	1	0	3	1	0	0	0	1	0	1	2	0	0	0	0	0	0	4	1	0	
9	2	1	0	2	0	0	4	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1	7	1	1	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	2	0	2	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
0	2	0	3	0	0	1	1	0	0	1	1	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
0	2	2	1	6	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
_2_
31	0	 
Î	È	À	Í	Å	Ò	Ñ	Ð	Â	Ó	Ì	Ê	Ë	Ï	Ä	Û	ß	Ü	Á	Ç	Þ	×	Ã	Æ	Õ	É	Ö	Ø	Ù	Ý	Ô	
1	6	1	14	4	12	31	21	12	2	11	5	9	9	13	0	0	0	7	7	1	1	7	2	0	7	0	1	2	1	0	
5	3	2	15	8	18	10	12	8	0	6	18	3	8	3	0	14	0	0	5	3	6	2	0	4	1	2	1	0	0	0	
3	3	0	17	7	5	13	3	9	1	15	9	13	3	5	0	5	0	4	3	2	3	3	0	1	0	5	3	0	0	1	
19	14	28	11	10	2	8	1	0	9	0	2	0	2	1	15	1	0	0	0	2	1	0	0	0	0	3	0	0	0	0	
1	3	4	23	2	11	9	16	8	0	8	1	2	7	9	0	2	0	2	2	0	2	4	3	0	4	0	2	1	2	0	
31	18	11	4	4	2	6	9	12	2	0	2	0	1	1	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	3	2	3	6	31	2	0	6	1	4	10	9	2	1	0	4	2	2	0	0	1	0	0	4	0	1	3	0	1	0	
19	27	14	1	24	0	1	1	1	5	0	0	0	1	5	2	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	
22	16	8	5	8	5	3	4	1	0	2	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	2	2	2	4	3	4	0	2	1	0	2	2	2	2	0	1	0	5	4	11	2	2	1	0	0	0	4	0	0	0	
2	8	4	2	17	1	2	1	0	2	1	1	0	4	2	6	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	
15	1	17	1	0	3	2	1	4	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	
7	15	8	1	5	0	0	0	0	2	0	0	0	0	0	0	3	12	0	0	1	0	0	1	0	0	0	0	0	0	0	
13	2	6	0	4	0	0	25	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
5	7	6	1	2	0	6	0	2	7	1	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	
0	0	1	2	2	3	3	5	4	0	2	0	5	1	0	0	0	0	0	1	0	0	0	0	4	5	0	0	0	0	0	
2	2	1	3	1	1	3	1	5	0	2	1	1	4	0	0	0	0	3	1	2	0	0	0	3	0	0	0	0	0	0	
1	0	6	12	0	0	1	0	1	0	1	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
1	1	1	2	3	0	1	2	0	5	1	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
3	1	2	4	0	0	0	1	3	2	0	0	1	0	0	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
1	1	0	0	0	0	0	2	2	1	4	1	0	3	1	0	0	0	1	0	2	1	0	0	0	0	0	0	3	1	0	
0	4	2	1	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	2	2	0	1	0	0	2	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1	1	1	5	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	2	0	0	0	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
0	2	0	3	0	0	1	1	0	1	0	1	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
0	10	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	6	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
